FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Davis Bertans,Was,F,28.51,57,25.7,115,0.87,50,0.48,428,0.395,0.62,11.5,3,0.9,0.58,0.23,0.58
Jusuf Nurkic,Por,C,26.73,37,23.8,113,0.619,303,0.525,30,0.4,0.554,11.5,9,3.4,1.03,1.08,1.97
James Wiseman,Gol,C,20.13,39,21.4,86,0.628,330,0.542,38,0.316,0.552,11.5,5.8,0.7,0.28,0.92,1.54
Rudy Gay,San,F-G,34.75,63,21.5,102,0.804,350,0.451,278,0.381,0.532,11.4,4.8,1.4,0.73,0.63,1.03
Bobby Portis,Mil,F,26.26,66,20.8,73,0.74,442,0.541,157,0.471,0.597,11.4,7.1,1.1,0.79,0.39,0.85
Immanuel Quickley,Nyk,G,21.92,64,19.4,174,0.891,277,0.401,303,0.389,0.557,11.4,2.1,2,0.47,0.19,0.91
Jae'Sean Tate,Hou,F,25.55,70,29.2,147,0.694,431,0.594,195,0.308,0.575,11.3,5.3,2.5,1.21,0.51,1.41
Jarrett Allen,Bro,C,23.07,12,26.6,61,0.754,65,0.677,0,0,0.73,11.2,10.4,1.7,0.58,1.58,1.83
Armoni Brooks,Hou,G,22.95,20,26,12,0.583,35,0.514,157,0.382,0.565,11.2,3.4,1.5,0.6,0.25,1.1
Hamidou Diallo,Det,G,22.8,20,23.3,68,0.662,132,0.492,41,0.39,0.549,11.2,5.4,1.2,0.5,0.6,1.35
R.J. Hampton,Orl,G,20.27,26,25.2,70,0.657,184,0.484,69,0.319,0.511,11.2,5,2.8,0.62,0.35,1.62
Enes Kanter,Por,C,28.99,72,24.4,164,0.774,557,0.607,4,0.25,0.636,11.2,11,1.2,0.46,0.67,1.08
Cam Reddish,Atl,F-G,21.71,26,28.9,82,0.817,137,0.46,126,0.262,0.488,11.2,4,1.3,1.27,0.35,1.31
